Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1
East Asia & Pacific,98.373009064,99.802271235,98.386978922,99.655950773,101.00344573,103.124328871,103.182183077,104.81529891699999,99.862843303,100.667708752,104.515050754,104.504259968,104.556734706,106.78157024299999,108.546593547,109.006391054,114.514067421,113.164572265,114.181050764,111.879279125,112.584034614,113.811910097,114.239995929,115.13546184799999,114.067627966,113.918364743,117.2790832,121.966612957,121.807263609,121.131826349,121.131826349
Europe & Central Asia,426.580141911,410.837271527,381.689259141,361.074327979,345.18257586,335.477590517,343.361998972,335.88620917000003,335.422792086,327.488471035,328.769205535,334.065709592,336.609510057,350.889543403,354.336624349,352.026378532,355.826834149,356.16379394899997,352.470633069,323.069738596,336.058511818,330.701015938,321.189952859,316.231169173,299.593459693,296.797126644,297.071286902,299.601600064,297.051215634,286.244382528,286.244382528
Latin America & Caribbean,73.86395324200001,74.914989096,82.343662322,76.29875602199999,76.258302543,78.760998087,79.581011951,82.659459091,87.639061625,86.554619291,84.308048162,87.293672014,88.166082054,90.877967817,92.04314197,93.906316912,97.893100093,100.041402539,100.729761379,163.16894807100002,100.88238809399999,107.527253723,119.29494741900001,104.99185947400001,103.144720656,102.749713653,100.662825289,97.555050044,99.377463312,100.148730132,100.148730132
Middle East & North Africa,137.802569032,143.802468928,143.77877788,152.77397742099998,159.803849108,162.442156713,166.411934795,174.492070427,173.730180994,175.855354328,173.100384907,175.752293796,179.577981027,180.678290952,176.90332482,173.382784343,173.137429057,169.280747808,167.39659147400002,160.230818409,161.797462004,159.110187766,166.565667481,163.399399286,164.477529063,161.797789375,158.516955011,156.496771567,150.53855781500002,153.082133345,153.082133345
North America,34.55623615,33.74441739,34.05109455,33.93171922,34.31655719,34.50751149,35.16797067,36.27484071,36.342812269999996,36.359655200000006,37.22743309,36.50309956,36.16585049,36.71480106,36.39190046,36.49674775,35.54126365,36.42348363,34.83541743,32.31084365,33.22387972,32.60016247,31.5242566,31.9496447,31.890826439999998,31.20862057,30.57048691,30.36783191,30.87312669,30.10402344,30.10402344
South Asia,2.6361761710000002,2.7238933440000004,3.037817626,2.952126852,3.023853718,3.375509613,3.661086005,3.896620869,3.7723119460000003,4.341482449,4.503186509,4.576268116,5.045679827,4.79543587,5.620843997,5.630202251,6.045115025,6.196805204,6.164041438,6.392352492,6.740204633,7.292715535,7.749087459,7.477978038,8.241142916,8.411530811,9.547236409,9.90726371,10.381212054,10.304684996,10.304684996
Sub-Saharan Africa,27.117813713,27.625659418999998,29.435103061,29.132057014,28.787869925000003,29.691015200000002,31.046645493,32.271408668,34.178591439,36.247834305,33.974151866,36.734724748,38.126868404999996,39.116191432,41.278704746,44.15384878,44.826153427,43.061826462,44.747921205,44.297187737,44.74082352,43.95530033,43.631622376,43.671659697,43.759554425,42.547118944,43.07300985,41.824695701,42.100813804,41.702447579,41.702447579
